entity,amount_key,row_count,accession_count,current_metric_usd,max_single_event_usd,possible_duplicate_excess_usd,classification,years,coupons,packet_ids,accessions,source_uris,quote_snippets
TeraWulf,3200000000,5,5,16000000000.00,3200000000.00,12800000000.00,probable_same_instrument_review,2030,7.750,adjudication:b0d5b8ac926d6a5d;adjudication:5e4fc762edefeb1c;adjudication:c1e8b92c53dfebe2;adjudication:1fb7f54cc47290c0;adjudication:2c8244f661d0cec8,000110465925100142;000110465925101866;000110465926043279;000110465926043376;000110465926044031,https://www.sec.gov/Archives/edgar/data/1083301/000110465925100142/tm2528904d1_8k.htm;https://www.sec.gov/Archives/edgar/data/1083301/000110465925101866/tm2529300d1_ex4-1.htm;https://www.sec.gov/Archives/edgar/data/1083301/000110465926043279/tm2611661d4_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1083301/000110465926043376/tm2611661-6_424b5.htm;https://www.sec.gov/Archives/edgar/data/1083301/000110465926044031/tm2611661-8_424b5.htm,"adjudication:b0d5b8ac926d6a5d: idge Credit Facility, for future site acquisitions and for general corporate purposes. See “Use of Proceeds.” Conflicts of Interest An affiliate of Morgan Stanley & Co. LLC is the administrative agent, collateral agen... || adjudication:5e4fc762edefeb1c: The Facility is expected to enhance liquidity and support working capital. Morgan Stanley Senior Funding, Inc. is engaged as Administrative Agent, Lead Arranger, and Lead Bookrunner for the Facility. With this enhance... || adjudication:c1e8b92c53dfebe2: plement relating to the subordinated debt securities. Debt securities will be issued under one or more indentures between us and Wilmington Trust Company, National Association, as trustee. The following discussion of... || adjudication:1fb7f54cc47290c0: On October 16, 2025, TeraWulf Inc. (“TeraWulf” or the “Company”) issued a press release announcing that WULF Compute LLC, its wholly-owned indirect subsidiary, priced its offering of $3.2 billion aggregate principal a... || adjudication:2c8244f661d0cec8: 7.750% SENIOR SECURED NOTES DUE 2030 _____________________________ INDENTURE Dated as of October 23, 2025 _____________________________ WILMINGTON TRUST, NATIONAL ASSOCIATION, as Trustee, and WILMINGTON TRUST, NATIONA..."
Applied Digital,2350000000,3,3,7050000000.00,2350000000.00,4700000000.00,probable_same_instrument_review,2030,,adjudication:ddc4e3ae336f90d8;adjudication:e191d6f7a7e13285;adjudication:05898a7dd077b6ca,000149315225021400;000149315225022506;000149315225024479,https://www.sec.gov/Archives/edgar/data/1144879/000149315225021400/ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1144879/000149315225022506/ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1144879/000149315225024479/form8-k.htm,"adjudication:ddc4e3ae336f90d8: ed that its subsidiary, APLD ComputeCo LLC (“APLD Compute”), intends to offer, subject to market conditions and other factors, $2.35 billion aggregate principal amount of senior secured notes due 2030 (the “Notes”), i... || adjudication:e191d6f7a7e13285: Guaranty Agreement, dated as of February 11, 2025, by and among APLD HPC Holdings LLC (a subsidiary of Applied Digital), the subsidiary guarantors thereunder, the lenders party thereto and Sumitomo Mitsui Banking Corp... || adjudication:05898a7dd077b6ca: , by and among APLD HPC Holdings LLC (a subsidiary of Applied Digital), the subsidiary guarantors thereunder, the lenders party thereto and Sumitomo Mitsui Banking Corporation, as administrative agent and as collatera..."
Hut 8,3250000000,2,2,6500000000.00,3250000000.00,3250000000.00,probable_same_instrument_review,2042,6.192,adjudication:69e20bbd34cdfc7a;adjudication:3d02739138827ef2,000110465926049810;000110465926053247,https://www.sec.gov/Archives/edgar/data/1964789/000110465926049810/tm2612880d1_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_ex4-1.htm,"adjudication:69e20bbd34cdfc7a: EX-99.1 2 tm2612880d1_ex99-1.htm EXHIBIT 99.1 Exhibit 99.1 Hut 8 Announces Pricing of $3.25 Billion of Investment-Grade Senior Secured Notes for River Bend Data Center Project Fully amortizing project financing due 20... || adjudication:3d02739138827ef2: on HUT 8 DC LLC, as Issuer 6.192% SENIOR SECURED NOTES DUE 2042 INDENTURE Dated as of April 30, 2026 HUT 8 DC MEMBER LLC, as HoldCo, and WILMINGTON TRUST, NATIONAL ASSOCIATION, as Trustee and Collateral Agent TABLE OF..."
IREN,1000000000,4,4,4000000000.00,1000000000.00,3000000000.00,distinct_facility_negative_control,2031;2032;2033,0.25;1.00,adjudication:a2b9962d3bab0db8;adjudication:a920dd09edac1f45;adjudication:6d0f910a9193972b;adjudication:ade7bf278106618e,000114036125037488;000114036125038083;000114036125043803;000114036125044095,https://www.sec.gov/Archives/edgar/data/1878848/000114036125037488/ef20056749_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1878848/000114036125038083/ef20056955_ex4-1.htm;https://www.sec.gov/Archives/edgar/data/1878848/000114036125043803/ny20060080x2_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1878848/000114036125044095/ny20060080x4_ex99-2.htm,"adjudication:a2b9962d3bab0db8: E , dated as of October 14, 2025, between IREN Limited (ACN 629 842 799), an Australian company, as issuer (the “ Company ”), and U.S. Bank Trust Company, National Association, as trustee (the “ Trustee ”). Each party... || adjudication:a920dd09edac1f45: The proceeds from the Offering will be approximately $1,632.4 million. IREN intends to use the proceeds from the Offering, together with the net proceeds from the Concurrent Offering , if it is consummated, (i) to fun... || adjudication:6d0f910a9193972b: e 2033 (the “2033 notes” and, together with the 2032 notes, the “notes”) in a private offering to persons reasonably believed to be qualified institutional buyers pursuant to Rule 144A under the Securities Act of 1933... || adjudication:ade7bf278106618e: tes due 2031 (the “notes”) in a private offering to persons reasonably believed to be qualified institutional buyers pursuant to Rule 144A under the Securities Act of 1933, as amended (the “Securities Act”). IREN also..."
IREN,2600000000,2,2,5200000000.00,2600000000.00,2600000000.00,probable_same_instrument_review,,1.00,adjudication:f8854b8ad4b973b8;adjudication:f8fe765b5145930f,000114036126020669;000114036126021285,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1878848/000114036126021285/ef20073507_ex99-1.htm,"adjudication:f8854b8ad4b973b8: um (as compared to the 32.5% conversion premium under the notes) • The issuance and sale of the notes are scheduled to settle on May 14, 2026, subject to customary closing conditions. IREN also granted the initial pur... || adjudication:f8fe765b5145930f: Morgan Securities LLC, Goldman Sachs & Co. LLC, Citigroup Global Markets Inc., Jefferies LLC, MUFG Securities Americas Inc., Wells Fargo Securities, LLC and Cantor Fitzgerald & Co. acted as bookrunners • BBVA Securiti..."
Applied Digital,2150000000,2,2,4300000000.00,2150000000.00,2150000000.00,probable_same_instrument_review,2031,6.75,adjudication:cf058d4819564c36;adjudication:f1a7d971f76fdbad,000149315226008549;000149315226009538,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008549/ex99-2.htm;https://www.sec.gov/Archives/edgar/data/1144879/000149315226009538/ex4-1.htm,"adjudication:cf058d4819564c36: The Notes will be fully and unconditionally guaranteed by APLD Compute 2’s future and existing direct and indirect subsidiaries, which as of today include APLD FAR-01 HoldCo LLC, APLD FAR-02 HoldCo LLC, APLD FAR-01 LL... || adjudication:f1a7d971f76fdbad: EX-4.1 2 ex4-1.htm EX-4.1 Exhibit 4.1 Execution Version APLD COMPUTECO 2 LLC APLD FAR HOLDINGS LLC AND EACH OF THE SUBSIDIARY GUARANTORS PARTY HERETO 6.75% SENIOR SECURED NOTES DUE 2031 INDENTURE Dated as of March 10,..."
IREN,2000000000,2,2,4000000000.00,2000000000.00,2000000000.00,probable_same_instrument_review,2033,1.00,adjudication:0f4124875b886a05;adjudication:ec32adb6ef390462,000114036126020370;000114036126020669,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020370/ef20072983_ex99-1.htm;https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm,"adjudication:0f4124875b886a05: ue 2033 (the “notes”) in a private offering to persons reasonably believed to be qualified institutional buyers pursuant to Rule 144A under the Securities Act of 1933, as amended (the “Securities Act”). IREN also expe... || adjudication:ec32adb6ef390462: share, which represents a 100% premium (as compared to the 32.5% conversion premium under the notes) • The issuance and sale of the notes are scheduled to settle on May 14, 2026, subject to customary closing condition..."
TeraWulf,1275000000,2,2,2550000000.00,1275000000.00,1275000000.00,probable_same_instrument_review,2030,,adjudication:026dbe0b80f992f7;adjudication:507ac15f15e1a75e,000110465925122293;000110465925122387,https://www.sec.gov/Archives/edgar/data/1083301/000110465925122293/tm2533501d1_8k.htm;https://www.sec.gov/Archives/edgar/data/1083301/000110465925122387/tm2533871d1_ex99-1.htm,"adjudication:026dbe0b80f992f7: Other Events. On December 18, 2025, the Company announced the intention of Flash Compute to offer, subject to market conditions and other factors, $1.275 billion aggregate principal amount of senior secured notes due... || adjudication:507ac15f15e1a75e: pacity In the event the FS termination fee is paid, the FS termination fee and the DSRA will prepay all rent owed on the land from such date through the date that is ten years following the rent commencement date unde..."
CleanSpark,1150000000,2,2,2300000000.00,1150000000.00,1150000000.00,probable_same_instrument_review,2032,0.00,adjudication:df46ada27181acf2;adjudication:ba4d6a74f68ac403,000119312525276014;000119312525280105,https://www.sec.gov/Archives/edgar/data/827876/000119312525276014/clsk-20251110.htm;https://www.sec.gov/Archives/edgar/data/827876/000119312525280105/clsk-ex4_1.htm,"adjudication:df46ada27181acf2: advances and disbursements, including agents and counsel fees and expenses, and including any other amounts due to the Trustee under Section 7.06, incurred by it up to the date of such distribution. To the extent that... || adjudication:ba4d6a74f68ac403: Convertible Notes Offering. On November 10, 2025, CleanSpark, Inc. (the “Company”) issued a press release announcing the upsize and pricing of its private offering of $1.15 billion aggregate principal amount of its 0...."
