packet_id,entity,exposure_basis_usd,remaining_gap,source_form,named_agreement,accession,action,source_uri
adjudication:0b889437692f7428,"CORPAY, INC.",3300000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000117545426000040,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1175454/000117545426000040/ex101eighteenthamendmentto.htm
adjudication:6728e41d178e59f3,"CORPAY, INC.",3300000000.0,determine collateral scope,other,Credit Agreement,000117545426000040,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1175454/000117545426000040/flt-20260521.htm
adjudication:a366b7676d5dd747,Hut 8 Corp.,3250000000.0,determine collateral scope,EX-4_exhibit,indenture,000110465926053247,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_ex4-1.htm
adjudication:5c31325b9b0a7411,Matador Resources Co,3250000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000110465925120120,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1520006/000110465925120120/tm2533173d2_ex10-1.htm
adjudication:b64192586d2f5bb0,COLUMBUS MCKINNON CORP,3125000000.0,determine recourse and guarantee scope,other,credit agreement,000119312526015918,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1005229/000119312526015918/d13607dex992.htm
adjudication:45f96f202021faf7,Primo Brands Corp,3090000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312526135834,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2042694/000119312526135834/d144191d8k.htm
adjudication:4c1f084ab85b5dca,SYSCO CORP,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312526164087,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/96021/000119312526164087/d290779d8k.htm
adjudication:ff96e842ddc5b787,SYSCO CORP,3000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000119312526164087,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/96021/000119312526164087/d290779dex101.htm
adjudication:dee3f2b3bea29f1f,GE Vernova Inc.,3000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000199681024000008,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1996810/000199681024000008/gev1q2024exhibit101.htm
adjudication:1be83fb3651fb612,FS Credit Opportunities Corp.,3000000000.0,determine recourse and guarantee scope,424B_prospectus,security agreement,000119312525007175,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1568194/000119312525007175/d924169d424b2.htm
